
Nguyen Van An,479981368,30/12/2015,626,0,128,66,6,7,0,0,0,0
Dao Duy Tien,973908490,17/2/2016,587,0,160,67,9,9,0,0,0,0
Dinh Kha Le,323055728,3/1/2017,1956,743,116,76,15,27,1,1,1,1
Nguyen Thanh Tung,250416836,13/12/2015,1181,0,71,68,17,35,0,1,1,0
Trinh Minh Giang,275088333,27/3/2017,1296,786,68,40,12,14,1,1,1,1
Pham Thu Huyen,533940634,27/2/2016,668,384,145,32,9,5,1,0,0,0
Phan Thanh Tung,465895908,10/3/2017,878,647,61,64,18,11,1,0,0,0
Nguyen Ngoc Long,101711687,4/2/2018,1952,556,53,76,5,35,1,1,1,1
Nguyen Van Truong,890920146,7/11/2015,659,0,75,53,16,17,0,1,0,0
Nguyen Thanh Tuan,338800534,24/1/2018,1086,715,27,70,17,15,1,1,0,1
Do Van Dat,146959324,14/11/2017,1208,800,58,74,15,13,1,1,0,1
Dang Thi Hong,807338961,10/9/2017,1112,900,83,74,10,19,1,1,1,1
Do Manh Linh,551421396,1/6/2016,1526,428,75,68,6,26,1,1,1,1
Doan Hai Son,935985327,8/7/2015,788,0,99,33,15,4,0,0,0,0
Dang Viet Ha,577639770,27/3/2016,1836,402,71,16,11,14,1,1,1,0
Nguyen Bao Long,115621592,13/2/2015,1069,345,79,72,20,12,1,0,0,0
Do Manh Cuong,417246765,3/2/2018,1468,584,168,49,17,19,1,1,0,0
Nguyen Thanh Trung,832458686,2/10/2017,1922,301,137,14,7,23,1,1,0,0
Le Cong Trung,256083936,9/12/2015,812,0,181,43,10,7,0,0,0,0
Dang Thanh Nam,183717842,4/1/2016,909,916,126,81,2,6,1,0,0,0
